,field_name,form_name,field_type,field_label,parent,branching_logic
0,subjid,presentation,freetext,Participant Identification Number (PIN),,
1,inclu,presentation,section,INCLUSION CRITERIA,,
2,inclu_disease,presentation,categorical,Suspected or confirmed infection,inclu,
3,inclu_disease___Chickenpox (Varicella),presentation,binary,Chickenpox (Varicella),inclu_disease,
4,inclu_disease___Herpes simplex virus infection (HSV),presentation,binary,Herpes simplex virus infection (HSV),inclu_disease,
5,inclu_disease___Human immunodeficiency virus infection (HIV infection),presentation,binary,Human immunodeficiency virus infection (HIV infection),inclu_disease,
6,inclu_disease___Mpox,presentation,binary,Mpox,inclu_disease,
7,inclu_disease___Other,presentation,binary,Other,inclu_disease,
8,inclu_disease_otherl3,presentation,freetext,Specify other Suspected or confirmed infection,inclu,[inclu_disease]='88'
9,inclu_case,presentation,categorical,Status of case,inclu,
10,inclu_case___Confirmed,presentation,binary,Confirmed,inclu_case,
11,inclu_case___Probable,presentation,binary,Probable,inclu_case,
12,inclu_case___Suspected,presentation,binary,Suspected,inclu_case,
13,inclu_case___Discarded,presentation,binary,Discarded,inclu_case,
14,inclu_case___Error,presentation,binary,Error,inclu_case,
15,inclu_testreason,presentation,categorical,Reason why the patient was tested,inclu,
16,inclu_testreason___Symptomatic,presentation,binary,Symptomatic,inclu_testreason,
17,"inclu_testreason___Asymptomatic, contact-traced",presentation,binary,"Asymptomatic, contact-traced",inclu_testreason,
18,"inclu_testreason___Asymptomatic, mass testing campaign",presentation,binary,"Asymptomatic, mass testing campaign",inclu_testreason,
19,inclu_testreason___Not tested,presentation,binary,Not tested,inclu_testreason,
20,inclu_testreason___Other,presentation,binary,Other,inclu_testreason,
21,inclu_testreason_otth,presentation,freetext,Specify other reason,inclu,[inclu_testreason]='88'
22,inclu_consentdes,presentation,freetext,Consent:,inclu,
23,inclu_consent,presentation,categorical,Participant (or their representative) has provided consent to participate in this study.,inclu,
24,inclu_consent___Yes,presentation,binary,Yes,inclu_consent,
25,"inclu_consent___No, participant did not agree to participate in the study",presentation,binary,"No, participant did not agree to participate in the study",inclu_consent,
26,"inclu_consent___No, the ethics committee approved a waiver of consent",presentation,binary,"No, the ethics committee approved a waiver of consent",inclu_consent,
27,inclu_consent_date,presentation,date,Date of consent,inclu,[inclu_consent]='1'
28,inclu_consent_who,presentation,categorical,Consent provided by,inclu,[inclu_consent]='1'
29,inclu_consent_who___Participant,presentation,binary,Participant,inclu_consent_who,[inclu_consent]='1'
30,inclu_consent_who___Consultee,presentation,binary,Consultee,inclu_consent_who,[inclu_consent]='1'
31,inclu_consent_who___Independent clinician,presentation,binary,Independent clinician,inclu_consent_who,[inclu_consent]='1'
32,inclu_consent2des,presentation,freetext,"Secondary use of data collected, the participant agreed with the following statements:",inclu,[inclu_consent]='1'
33,inclu_consent_secrsch,presentation,binary,"Future use of pseudonymised data in ethically approved research, including research in other countries",inclu,[inclu_consent]='1'
34,inclu_consent_secprod,presentation,binary,"Future use of pseudonymised data to manufacture tests, treatments or other products, including commercial products",inclu,[inclu_consent]='1'
35,inclu_consent_secgen,presentation,binary,"Future use of pseudonymised genetic data in ethically approved research, including research in other countries",inclu,[inclu_consent]='1'
36,inclu_consentsecsamp,presentation,freetext,"Secondary use of samples collected, the participant agreed with the following statements:  ",inclu,[inclu_consent]='1'
37,inclu_consent_secsamprsch,presentation,binary,"Future use of pseudonymised samples in ethically approved research, including research in other countries",inclu,[inclu_consent]='1'
38,inclu_consent_secsampprod,presentation,binary,"Future use of pseudonymised samples or materials or data derived from those samples to manufacture tests, treatments or other products, including commercial products",inclu,[inclu_consent]='1'
39,inclu_consent_secsampgen,presentation,binary,"Future use of pseudonymised genetic samples in ethically approved research, including research in other countries",inclu,[inclu_consent]='1'
40,inclu_consentcont,presentation,freetext,Contact  ,inclu,[inclu_consent]='1'
41,inclu_consent_contnstudy,presentation,binary,"To be contacted to participate in future work, including research studies",inclu,[inclu_consent]='1'
42,pres,presentation,section,ONSET & PRESENTATION,,
43,pres_onsetdate,presentation,date,Onset date of first / earliest symptom,pres,
44,pres_firstsym,presentation,checkbox,Symptom(s) during first 24 hours of illness (select all that apply),pres,
45,pres_firstsym___Fever,presentation,binary,Fever,pres_firstsym,
46,pres_firstsym___Mucosal lesion,presentation,binary,Mucosal lesion,pres_firstsym,
47,pres_firstsym___Skin lesion,presentation,binary,Skin lesion,pres_firstsym,
48,pres_firstsym___Other,presentation,binary,Other,pres_firstsym,
49,pres_firstsym_otherl2,presentation,categorical,Select Symptom(s) during first 24 hours of illness (select all that apply),pres,[pres_firstsym(88)]='1'
50,pres_firstsym_otherl2___Abdominal pain,presentation,binary,Abdominal pain,pres_firstsym_otherl2,[pres_firstsym(88)]='1'
51,pres_firstsym_otherl2___Abnormal weight loss,presentation,binary,Abnormal weight loss,pres_firstsym_otherl2,[pres_firstsym(88)]='1'
52,pres_firstsym_otherl2___Alopecia (Nonscarring hair loss),presentation,binary,Alopecia (Nonscarring hair loss),pres_firstsym_otherl2,[pres_firstsym(88)]='1'
53,pres_firstsym_otherl2___Altered consciousness / Confusion (Disorientation),presentation,binary,Altered consciousness / Confusion (Disorientation),pres_firstsym_otherl2,[pres_firstsym(88)]='1'
54,pres_firstsym_otherl2___Anorexia,presentation,binary,Anorexia,pres_firstsym_otherl2,[pres_firstsym(88)]='1'
55,pres_firstsym_otherl2___Apnoea,presentation,binary,Apnoea,pres_firstsym_otherl2,[pres_firstsym(88)]='1'
56,pres_firstsym_otherl2___Ascites,presentation,binary,Ascites,pres_firstsym_otherl2,[pres_firstsym(88)]='1'
57,pres_firstsym_otherl2___Bleeding (Haemorrhage),presentation,binary,Bleeding (Haemorrhage),pres_firstsym_otherl2,[pres_firstsym(88)]='1'
58,pres_firstsym_otherl2___Bruising (Spontaneous ecchymoses),presentation,binary,Bruising (Spontaneous ecchymoses),pres_firstsym_otherl2,[pres_firstsym(88)]='1'
59,pres_firstsym_otherl2___Can't feel one side of the body or face (Hemiplegia),presentation,binary,Can't feel one side of the body or face (Hemiplegia),pres_firstsym_otherl2,[pres_firstsym(88)]='1'
60,pres_firstsym_otherl2___Can't fully move or control movement (Paralytic syndrome),presentation,binary,Can't fully move or control movement (Paralytic syndrome),pres_firstsym_otherl2,[pres_firstsym(88)]='1'
61,pres_firstsym_otherl2___Cardiac arrhythmia,presentation,binary,Cardiac arrhythmia,pres_firstsym_otherl2,[pres_firstsym(88)]='1'
62,pres_firstsym_otherl2___Changes in menstruation (Irregular menstruation),presentation,binary,Changes in menstruation (Irregular menstruation),pres_firstsym_otherl2,[pres_firstsym(88)]='1'
63,pres_firstsym_otherl2___Changes in skin texture,presentation,binary,Changes in skin texture,pres_firstsym_otherl2,[pres_firstsym(88)]='1'
64,pres_firstsym_otherl2___Chest pain,presentation,binary,Chest pain,pres_firstsym_otherl2,[pres_firstsym(88)]='1'
65,pres_firstsym_otherl2___Chest pain on breathing,presentation,binary,Chest pain on breathing,pres_firstsym_otherl2,[pres_firstsym(88)]='1'
66,pres_firstsym_otherl2___Chills (without fever),presentation,binary,Chills (without fever),pres_firstsym_otherl2,[pres_firstsym(88)]='1'
67,pres_firstsym_otherl2___Cognitive impairment (Unspecified intellectual disabilities),presentation,binary,Cognitive impairment (Unspecified intellectual disabilities),pres_firstsym_otherl2,[pres_firstsym(88)]='1'
68,pres_firstsym_otherl2___Conjunctivitis,presentation,binary,Conjunctivitis,pres_firstsym_otherl2,[pres_firstsym(88)]='1'
69,pres_firstsym_otherl2___Constipation,presentation,binary,Constipation,pres_firstsym_otherl2,[pres_firstsym(88)]='1'
70,pres_firstsym_otherl2___Convulsions,presentation,binary,Convulsions,pres_firstsym_otherl2,[pres_firstsym(88)]='1'
71,pres_firstsym_otherl2___Cough,presentation,binary,Cough,pres_firstsym_otherl2,[pres_firstsym(88)]='1'
72,pres_firstsym_otherl2___Diarrhea,presentation,binary,Diarrhea,pres_firstsym_otherl2,[pres_firstsym(88)]='1'
73,pres_firstsym_otherl2___Difficulty eating or drinking (Dysphagia),presentation,binary,Difficulty eating or drinking (Dysphagia),pres_firstsym_otherl2,[pres_firstsym(88)]='1'
74,pres_firstsym_otherl2___Difficulty in walking,presentation,binary,Difficulty in walking,pres_firstsym_otherl2,[pres_firstsym(88)]='1'
75,pres_firstsym_otherl2___Disorders of nose and nasal sinuses,presentation,binary,Disorders of nose and nasal sinuses,pres_firstsym_otherl2,[pres_firstsym(88)]='1'
76,pres_firstsym_otherl2___Disturbance in attention (Altered mental status),presentation,binary,Disturbance in attention (Altered mental status),pres_firstsym_otherl2,[pres_firstsym(88)]='1'
77,pres_firstsym_otherl2___Dizziness/light headedness (Dizziness and giddiness),presentation,binary,Dizziness/light headedness (Dizziness and giddiness),pres_firstsym_otherl2,[pres_firstsym(88)]='1'
78,pres_firstsym_otherl2___Dry skin (Xerosis cutis),presentation,binary,Dry skin (Xerosis cutis),pres_firstsym_otherl2,[pres_firstsym(88)]='1'
79,pres_firstsym_otherl2___Ear pain (Otalgia),presentation,binary,Ear pain (Otalgia),pres_firstsym_otherl2,[pres_firstsym(88)]='1'
80,pres_firstsym_otherl2___Erectile dysfunction,presentation,binary,Erectile dysfunction,pres_firstsym_otherl2,[pres_firstsym(88)]='1'
81,pres_firstsym_otherl2___Fainting / blackouts (Syncope and collapse),presentation,binary,Fainting / blackouts (Syncope and collapse),pres_firstsym_otherl2,[pres_firstsym(88)]='1'
82,pres_firstsym_otherl2___Feeding difficulty,presentation,binary,Feeding difficulty,pres_firstsym_otherl2,[pres_firstsym(88)]='1'
83,pres_firstsym_otherl2___Gastrointestinal bleeding (Gastrointestinal hemorrhage),presentation,binary,Gastrointestinal bleeding (Gastrointestinal hemorrhage),pres_firstsym_otherl2,[pres_firstsym(88)]='1'
84,pres_firstsym_otherl2___Headache,presentation,binary,Headache,pres_firstsym_otherl2,[pres_firstsym(88)]='1'
85,pres_firstsym_otherl2___Hepatomegaly,presentation,binary,Hepatomegaly,pres_firstsym_otherl2,[pres_firstsym(88)]='1'
86,pres_firstsym_otherl2___Increased thirst (Polydipsia),presentation,binary,Increased thirst (Polydipsia),pres_firstsym_otherl2,[pres_firstsym(88)]='1'
87,pres_firstsym_otherl2___Increased urination (polyuria),presentation,binary,Increased urination (polyuria),pres_firstsym_otherl2,[pres_firstsym(88)]='1'
88,pres_firstsym_otherl2___Irritability,presentation,binary,Irritability,pres_firstsym_otherl2,[pres_firstsym(88)]='1'
89,pres_firstsym_otherl2___Itchy eye,presentation,binary,Itchy eye,pres_firstsym_otherl2,[pres_firstsym(88)]='1'
90,pres_firstsym_otherl2___Jaundice,presentation,binary,Jaundice,pres_firstsym_otherl2,[pres_firstsym(88)]='1'
91,pres_firstsym_otherl2___Joint pain (Arthralgia),presentation,binary,Joint pain (Arthralgia),pres_firstsym_otherl2,[pres_firstsym(88)]='1'
92,pres_firstsym_otherl2___Limb weakness / paralysis (Monoplegia),presentation,binary,Limb weakness / paralysis (Monoplegia),pres_firstsym_otherl2,[pres_firstsym(88)]='1'
93,pres_firstsym_otherl2___Localized edema,presentation,binary,Localized edema,pres_firstsym_otherl2,[pres_firstsym(88)]='1'
94,pres_firstsym_otherl2___Loss of appetite (Anorexia),presentation,binary,Loss of appetite (Anorexia),pres_firstsym_otherl2,[pres_firstsym(88)]='1'
95,pres_firstsym_otherl2___Loss of smell (Anosmia),presentation,binary,Loss of smell (Anosmia),pres_firstsym_otherl2,[pres_firstsym(88)]='1'
96,pres_firstsym_otherl2___Loss of taste (Parageusia),presentation,binary,Loss of taste (Parageusia),pres_firstsym_otherl2,[pres_firstsym(88)]='1'
97,pres_firstsym_otherl2___Lymphadenitis,presentation,binary,Lymphadenitis,pres_firstsym_otherl2,[pres_firstsym(88)]='1'
98,pres_firstsym_otherl2___Malaise and fatigue,presentation,binary,Malaise and fatigue,pres_firstsym_otherl2,[pres_firstsym(88)]='1'
99,pres_firstsym_otherl2___Mouth ulcers (Recurrent oral aphthae),presentation,binary,Mouth ulcers (Recurrent oral aphthae),pres_firstsym_otherl2,[pres_firstsym(88)]='1'
100,pres_firstsym_otherl2___Muscle aches (Myalgia),presentation,binary,Muscle aches (Myalgia),pres_firstsym_otherl2,[pres_firstsym(88)]='1'
101,pres_firstsym_otherl2___Muscle weakness,presentation,binary,Muscle weakness,pres_firstsym_otherl2,[pres_firstsym(88)]='1'
102,pres_firstsym_otherl2___Nasal congestion,presentation,binary,Nasal congestion,pres_firstsym_otherl2,[pres_firstsym(88)]='1'
103,pres_firstsym_otherl2___Nausea or vomiting,presentation,binary,Nausea or vomiting,pres_firstsym_otherl2,[pres_firstsym(88)]='1'
104,pres_firstsym_otherl2___Pain during urination (Dysuria),presentation,binary,Pain during urination (Dysuria),pres_firstsym_otherl2,[pres_firstsym(88)]='1'
105,pres_firstsym_otherl2___Pallor,presentation,binary,Pallor,pres_firstsym_otherl2,[pres_firstsym(88)]='1'
106,pres_firstsym_otherl2___Palpitations,presentation,binary,Palpitations,pres_firstsym_otherl2,[pres_firstsym(88)]='1'
107,pres_firstsym_otherl2___Paresthesia of skin,presentation,binary,Paresthesia of skin,pres_firstsym_otherl2,[pres_firstsym(88)]='1'
108,pres_firstsym_otherl2___Problems swallowing or chewing (Dysphagia),presentation,binary,Problems swallowing or chewing (Dysphagia),pres_firstsym_otherl2,[pres_firstsym(88)]='1'
109,pres_firstsym_otherl2___Pruritus,presentation,binary,Pruritus,pres_firstsym_otherl2,[pres_firstsym(88)]='1'
110,pres_firstsym_otherl2___Rapid heart beat/Pulse (Tachycardia),presentation,binary,Rapid heart beat/Pulse (Tachycardia),pres_firstsym_otherl2,[pres_firstsym(88)]='1'
111,pres_firstsym_otherl2___Rashes or skin lesions,presentation,binary,Rashes or skin lesions,pres_firstsym_otherl2,[pres_firstsym(88)]='1'
112,pres_firstsym_otherl2___Retention of urine,presentation,binary,Retention of urine,pres_firstsym_otherl2,[pres_firstsym(88)]='1'
113,pres_firstsym_otherl2___Shortness of breath (Dyspnea),presentation,binary,Shortness of breath (Dyspnea),pres_firstsym_otherl2,[pres_firstsym(88)]='1'
114,pres_firstsym_otherl2___Skin rash,presentation,binary,Skin rash,pres_firstsym_otherl2,[pres_firstsym(88)]='1'
115,pres_firstsym_otherl2___Sleep disorder,presentation,binary,Sleep disorder,pres_firstsym_otherl2,[pres_firstsym(88)]='1'
116,pres_firstsym_otherl2___Sneezing,presentation,binary,Sneezing,pres_firstsym_otherl2,[pres_firstsym(88)]='1'
117,pres_firstsym_otherl2___Sore throat (Pain in throat),presentation,binary,Sore throat (Pain in throat),pres_firstsym_otherl2,[pres_firstsym(88)]='1'
118,pres_firstsym_otherl2___Speech disturbances,presentation,binary,Speech disturbances,pres_firstsym_otherl2,[pres_firstsym(88)]='1'
119,pres_firstsym_otherl2___Spontaneous bruising (Spontaneous ecchymoses),presentation,binary,Spontaneous bruising (Spontaneous ecchymoses),pres_firstsym_otherl2,[pres_firstsym(88)]='1'
120,pres_firstsym_otherl2___Sweating (hyperhidrosis),presentation,binary,Sweating (hyperhidrosis),pres_firstsym_otherl2,[pres_firstsym(88)]='1'
121,pres_firstsym_otherl2___Swollen lymph nodes (Enlarged lymph nodes),presentation,binary,Swollen lymph nodes (Enlarged lymph nodes),pres_firstsym_otherl2,[pres_firstsym(88)]='1'
122,pres_firstsym_otherl2___Tinnitus,presentation,binary,Tinnitus,pres_firstsym_otherl2,[pres_firstsym(88)]='1'
123,pres_firstsym_otherl2___Tremor,presentation,binary,Tremor,pres_firstsym_otherl2,[pres_firstsym(88)]='1'
124,pres_firstsym_otherl2___Urinary incontinence,presentation,binary,Urinary incontinence,pres_firstsym_otherl2,[pres_firstsym(88)]='1'
125,pres_firstsym_otherl2___Visual disturbances,presentation,binary,Visual disturbances,pres_firstsym_otherl2,[pres_firstsym(88)]='1'
126,pres_firstsym_otherl2___Wheezing,presentation,binary,Wheezing,pres_firstsym_otherl2,[pres_firstsym(88)]='1'
127,pres_firstsym_otherl2___Other,presentation,binary,Other,pres_firstsym_otherl2,[pres_firstsym(88)]='1'
128,pres_firstsym_otherl3,presentation,freetext,Specify other Symptom(s) during first 24 hours of illness (select all that apply),pres,[pres_firstsym_otherl2]='88'
129,pres_date,presentation,date,Most recent presentation/admission date at this facility,pres,
130,pres_adm,presentation,binary,Admitted to hospital,pres,
131,pres_enrolmentdate,presentation,date,Date of enrolment / start of data collection,pres,
132,readm,presentation,section,RE-ADMISSION AND PREVIOUS PIN,,
133,readm_prev,presentation,categorical,Was the patient admitted previously or transferred from any other facility during this illness episode?,readm,
134,readm_prev___YES-admitted previously to this facility and discharged,presentation,binary,YES-admitted previously to this facility and discharged,readm_prev,
135,readm_prev___YES-admitted to other facility and discharged,presentation,binary,YES-admitted to other facility and discharged,readm_prev,
136,"readm_prev___YES-admitted to another facility, then transferred to this facility",presentation,binary,"YES-admitted to another facility, then transferred to this facility",readm_prev,
137,readm_prev___No,presentation,binary,No,readm_prev,
138,readm_prev_site,presentation,freetext,Name of transfer facility,readm,[readm_prev] = '1' or [readm_prev]='2' or [readm_prev]='3' 
139,readm_prev_num,presentation,numeric,Total number of previous admissions for this infection,readm,[readm_prev] = '1' or [readm_prev]='2' or [readm_prev]='3' 
140,readm_firstadmdate,presentation,date,Date of earliest admission for this infection,readm,[readm_prev] = '1' or [readm_prev]='2' or [readm_prev]='3' 
141,readm_difpin,presentation,binary,Has the patient's data been previously collected under a different participant identification number (PIN)? ,readm,
142,readm_prevpin,presentation,freetext,Previous Participant Identification Number (PIN),readm,[readm_difpin] = '1'
143,demog,presentation,section,DEMOGRAPHICS,,
144,demog_sex,presentation,categorical,Sex at birth,demog,
145,demog_sex___Male,presentation,binary,Male,demog_sex,
146,demog_sex___Female,presentation,binary,Female,demog_sex,
147,demog_sex___Not specified/Unknown,presentation,binary,Not specified/Unknown,demog_sex,
148,demog_sex___Other,presentation,binary,Other,demog_sex,
149,demog_sex_oth,presentation,freetext,Specify other sex at birth,demog,[demog_sex]='88'
150,demog_gender,presentation,categorical,Gender,demog,
151,demog_gender___Man,presentation,binary,Man,demog_gender,
152,demog_gender___Woman,presentation,binary,Woman,demog_gender,
153,demog_gender___Non-binary,presentation,binary,Non-binary,demog_gender,
154,demog_gender___Other,presentation,binary,Other,demog_gender,
155,demog_gender_oth,presentation,freetext,Specify other gender,demog,[demog_gender]='88'
156,demog_birthknow,presentation,binary,Is the date of birth known?,demog,
157,demog_birthdate,presentation,date,Date of birth,demog,[demog_birthknow]='1'
158,demog_calcage,presentation,calc,Calculated Age,demog,[demog_birthknow]='1'
159,demog_age,presentation,numeric,Age,demog,[demog_birthknow]='0'
160,demog_age_units,presentation,units,Age units,demog,[demog_birthknow]='0'
161,demog_age_units___Years,presentation,binary,Years,demog_age_units,[demog_birthknow]='0'
162,demog_age_units___Months,presentation,binary,Months,demog_age_units,[demog_birthknow]='0'
163,demog_age_units___Days,presentation,binary,Days,demog_age_units,[demog_birthknow]='0'
164,demog_healthcare,presentation,binary,Employed as a healthcare worker,demog,
165,demog_healthcare_ptfacing,presentation,binary,Patient facing,demog,[demog_healthcare] = '1'
166,demog_healthcare_expbiosample,presentation,binary,Exposed to biological samples,demog,[demog_healthcare] = '1'
167,expo14,presentation,section,EXPOSURE HISTORY IN PREVIOUS 14 DAYS,,
168,expo14_yn,presentation,binary,History of contact with suspected or confirmed human case of same pathogen?,expo14,
169,expo14_typecomm,presentation,binary,Community contact ,expo14,[expo14_yn]='1'
170,expo14_typevert,presentation,binary,Vertical transmission,expo14,[expo14_yn]='1' and (([demog_age] < 12 and [demog_age_units]='2') or [demog_age_units]='3' or [demog_calcage]<1)
171,expo14_typehcw,presentation,binary,Healthcare worker exposure,expo14,[expo14_yn]='1'
172,expo14_typesext,presentation,binary,Sexual transmission,expo14,[expo14_yn]='1'
173,expo14_typefaml,presentation,binary,Family / household contacts,expo14,[expo14_yn]='1'
174,expo14_typeoth,presentation,binary,Other type of human exposure,expo14,[expo14_yn]='1'
175,expo14_typeoth_spec,presentation,freetext,Specify other type of human exposure,expo14,[expo14_typeoth]='1'
176,expo14_date,presentation,date,Date of contact with suspected or confirmed case,expo14,[expo14_yn]='1'
177,expo14_ancon,presentation,binary,"Any contact with animals, animal homes, meats or other animal products in the last 14 days?",expo14,
178,expo14_ancon_wildlife,presentation,binary,Contact with wildlife,expo14,[expo14_ancon]='1'
179,expo14_ancon_wildlife_cttype,presentation,checkbox,Specify type of contact,expo14,[expo14_ancon_wildlife]='1'
180,expo14_ancon_wildlife_cttype___Hunting,presentation,binary,Hunting,expo14_ancon_wildlife_cttype,[expo14_ancon_wildlife]='1'
181,expo14_ancon_wildlife_cttype___Preparing,presentation,binary,Preparing,expo14_ancon_wildlife_cttype,[expo14_ancon_wildlife]='1'
182,expo14_ancon_wildlife_cttype___Handling,presentation,binary,Handling,expo14_ancon_wildlife_cttype,[expo14_ancon_wildlife]='1'
183,expo14_ancon_wildlife_cttype___Consumption (unprocessed / undercooked / raw),presentation,binary,Consumption (unprocessed / undercooked / raw),expo14_ancon_wildlife_cttype,[expo14_ancon_wildlife]='1'
184,expo14_ancon_wildlife_cttype___Trading,presentation,binary,Trading,expo14_ancon_wildlife_cttype,[expo14_ancon_wildlife]='1'
185,expo14_ancon_wildlife_cttype___Animal faeces or nests,presentation,binary,Animal faeces or nests,expo14_ancon_wildlife_cttype,[expo14_ancon_wildlife]='1'
186,expo14_ancon_wildlife_cttype___Sick or dead animal,presentation,binary,Sick or dead animal,expo14_ancon_wildlife_cttype,[expo14_ancon_wildlife]='1'
187,expo14_ancon_wildlife_cttype___Unknown,presentation,binary,Unknown,expo14_ancon_wildlife_cttype,[expo14_ancon_wildlife]='1'
188,expo14_ancon_wildlife_cttype___Other,presentation,binary,Other,expo14_ancon_wildlife_cttype,[expo14_ancon_wildlife]='1'
189,expo14_ancon_other,presentation,binary,Other animal contact not listed above ,expo14,[expo14_ancon]='1'
190,expo14_ancon_other_spec,presentation,freetext,Specify animal contacts not listed above,expo14,[expo14_ancon_other]='1'
191,expo14_ancon_other_cttype,presentation,checkbox,Specify type of contact,expo14,[expo14_ancon_other]='1'
192,expo14_ancon_other_cttype___Hunting,presentation,binary,Hunting,expo14_ancon_other_cttype,[expo14_ancon_other]='1'
193,expo14_ancon_other_cttype___Preparing,presentation,binary,Preparing,expo14_ancon_other_cttype,[expo14_ancon_other]='1'
194,expo14_ancon_other_cttype___Handling,presentation,binary,Handling,expo14_ancon_other_cttype,[expo14_ancon_other]='1'
195,expo14_ancon_other_cttype___Consumption (unprocessed / undercooked / raw),presentation,binary,Consumption (unprocessed / undercooked / raw),expo14_ancon_other_cttype,[expo14_ancon_other]='1'
196,expo14_ancon_other_cttype___Trading,presentation,binary,Trading,expo14_ancon_other_cttype,[expo14_ancon_other]='1'
197,expo14_ancon_other_cttype___Animal faeces or nests,presentation,binary,Animal faeces or nests,expo14_ancon_other_cttype,[expo14_ancon_other]='1'
198,expo14_ancon_other_cttype___Sick or dead animal,presentation,binary,Sick or dead animal,expo14_ancon_other_cttype,[expo14_ancon_other]='1'
199,expo14_ancon_other_cttype___Unknown,presentation,binary,Unknown,expo14_ancon_other_cttype,[expo14_ancon_other]='1'
200,expo14_ancon_other_cttype___Other,presentation,binary,Other,expo14_ancon_other_cttype,[expo14_ancon_other]='1'
201,comor,presentation,section,CO-MORBIDITIES AND RISK FACTORS,,
202,comor_cns,presentation,freetext,Neurological comorbidities,comor,
203,comor_chrneurolo,presentation,binary,Chronic neurological disorder,comor,
204,comor_cvs,presentation,freetext,Cardiovascular comorbidities,comor,
205,comor_chrcardiac,presentation,binary,Chronic cardiac disease (not hypertension),comor,
206,comor_hypertensi,presentation,binary,Hypertension,comor,
207,comor_resp,presentation,freetext,Respiratory comorbidities,comor,
208,comor_chrpulmona,presentation,binary,Chronic pulmonary disease (not asthma),comor,
209,comor_asthma,presentation,binary,Asthma,comor,
210,comor_git,presentation,freetext,Gastrointestinal comorbidities,comor,
211,comor_liverdisease,presentation,binary,Liver disease,comor,
212,comor_liverdisease_type,presentation,categorical,Type of liver disease,comor,[comor_liverdisease]='1'
213,comor_liverdisease_type___Mild,presentation,binary,Mild,comor_liverdisease_type,[comor_liverdisease]='1'
214,comor_liverdisease_type___Moderate or severe,presentation,binary,Moderate or severe,comor_liverdisease_type,[comor_liverdisease]='1'
215,comor_renalgut,presentation,freetext,Renal / Genitourinary comorbidities,comor,
216,comor_chrkidney,presentation,binary,Chronic kidney disease,comor,
217,comor_chrkidney_type,presentation,categorical,Stage of chronic kidney disease,comor,[comor_chrkidney]='1'
218,comor_chrkidney_type___Stage 1,presentation,binary,Stage 1,comor_chrkidney_type,[comor_chrkidney]='1'
219,comor_chrkidney_type___Stage 2,presentation,binary,Stage 2,comor_chrkidney_type,[comor_chrkidney]='1'
220,comor_chrkidney_type___Stage 3a,presentation,binary,Stage 3a,comor_chrkidney_type,[comor_chrkidney]='1'
221,comor_chrkidney_type___Stage 3b,presentation,binary,Stage 3b,comor_chrkidney_type,[comor_chrkidney]='1'
222,comor_chrkidney_type___Stage 4,presentation,binary,Stage 4,comor_chrkidney_type,[comor_chrkidney]='1'
223,comor_chrkidney_type___Stage 5,presentation,binary,Stage 5,comor_chrkidney_type,[comor_chrkidney]='1'
224,comor_inf,presentation,freetext,Infectious comorbidities,comor,
225,comor_aids,presentation,binary,HIV,comor,
226,comor_aids_art,presentation,binary,Is the patient on anti-retroviral therapy (ART)?,comor,[comor_aids] = '1'
227,comor_aids_arttype,presentation,freetext,Specify ART,comor,[comor_aids_art] = '1'
228,comor_aids_cd4date,presentation,date,If HIV positive: CD4 count date,comor,[comor_aids] = '1'
229,comor_aids_cd4count,presentation,numeric,If HIV positive: Most recent CD4 count (cells/µL),comor,[comor_aids] = '1'
230,comor_aids_vrl,presentation,binary,If HIV positive: Is HIV viral load detectable,comor,[comor_aids] = '1'
231,comor_aids_vrlno,presentation,numeric,Most recent HIV viral load (copies/mL),comor,[comor_aids_vrl] = '1'
232,comor_tuberculos,presentation,binary,Tuberculosis,comor,
233,comor_tuberculos_type,presentation,categorical,Specify tuberculosis type,comor,[comor_tuberculos]='1'
234,comor_tuberculos_type___Active pulmonary,presentation,binary,Active pulmonary,comor_tuberculos_type,[comor_tuberculos]='1'
235,comor_tuberculos_type___Active extra-pulmonary,presentation,binary,Active extra-pulmonary,comor_tuberculos_type,[comor_tuberculos]='1'
236,comor_tuberculos_type___Latent,presentation,binary,Latent,comor_tuberculos_type,[comor_tuberculos]='1'
237,comor_heme,presentation,freetext,Haematological comorbidities,comor,
238,comor_chrhematol,presentation,binary,Chronic haematologic disease,comor,
239,comor_sys,presentation,freetext,Systemic / general comorbidities,comor,
240,comor_rheumatolo,presentation,binary,Rheumatologic disorder,comor,
241,comor_asplenia,presentation,binary,Asplenia,comor,
242,comor_obesity,presentation,binary,Obesity,comor,
243,comor_malnutriti,presentation,binary,Malnutrition,comor,
244,comor_diabetes,presentation,binary,Diabetes mellitus,comor,
245,comor_diabetes_type,presentation,categorical,Diabetes mellitus type,comor,[comor_diabetes] = '1'
246,comor_diabetes_type___Type 1,presentation,binary,Type 1,comor_diabetes_type,[comor_diabetes] = '1'
247,comor_diabetes_type___Type 2,presentation,binary,Type 2,comor_diabetes_type,[comor_diabetes] = '1'
248,comor_diabetes_type___Gestational diabetes,presentation,binary,Gestational diabetes,comor_diabetes_type,[comor_diabetes] = '1'
249,comor_smoking,presentation,binary,Ever smoked,comor,
250,comor_smoking_type,presentation,categorical,Smoking status,comor,[comor_smoking]='1'
251,comor_smoking_type___Current smoker,presentation,binary,Current smoker,comor_smoking_type,[comor_smoking]='1'
252,comor_smoking_type___Former Smoker,presentation,binary,Former Smoker,comor_smoking_type,[comor_smoking]='1'
