,field_name,form_name,field_type,field_label,parent,branching_logic
1947,"medi_antibioagent_otherl2___Ceftaroline Fosamil (Teflaro, Zinforo)",medication,binary,"Ceftaroline Fosamil (Teflaro, Zinforo)",medi_antibioagent_otherl2,[medi_antibioagent]='88'
1948,"medi_antibioagent_otherl2___Ceftazidime/beta-lactamase inhibitor (ceftazidime/avibactam, Avycaz, Zavicefta)",medication,binary,"Ceftazidime/beta-lactamase inhibitor (ceftazidime/avibactam, Avycaz, Zavicefta)",medi_antibioagent_otherl2,[medi_antibioagent]='88'
1949,medi_antibioagent_otherl2___Ceftibuten (Cedax),medication,binary,Ceftibuten (Cedax),medi_antibioagent_otherl2,[medi_antibioagent]='88'
1950,"medi_antibioagent_otherl2___Ceftriaxone (Rocephin, Wintriaxone)",medication,binary,"Ceftriaxone (Rocephin, Wintriaxone)",medi_antibioagent_otherl2,[medi_antibioagent]='88'
1951,"medi_antibioagent_otherl2___Cefuroxime (Ceftin, Zinacef)",medication,binary,"Cefuroxime (Ceftin, Zinacef)",medi_antibioagent_otherl2,[medi_antibioagent]='88'
1952,"medi_antibioagent_otherl2___Cephapirin (Cefapirin,",medication,binary,"Cephapirin (Cefapirin,",medi_antibioagent_otherl2,[medi_antibioagent]='88'
1953,"medi_antibioagent_otherl2___Chloramphenicol (Chloromycetin, Viceton)",medication,binary,"Chloramphenicol (Chloromycetin, Viceton)",medi_antibioagent_otherl2,[medi_antibioagent]='88'
1954,medi_antibioagent_otherl2___Cinoxacin (Cinobac),medication,binary,Cinoxacin (Cinobac),medi_antibioagent_otherl2,[medi_antibioagent]='88'
1955,"medi_antibioagent_otherl2___Clindamycin (Cleocin, Dalacin)",medication,binary,"Clindamycin (Cleocin, Dalacin)",medi_antibioagent_otherl2,[medi_antibioagent]='88'
1956,"medi_antibioagent_otherl2___Cloxacillin (Tegopen, Cloxapen)",medication,binary,"Cloxacillin (Tegopen, Cloxapen)",medi_antibioagent_otherl2,[medi_antibioagent]='88'
1957,"medi_antibioagent_otherl2___Colistin (Colistimethate, Coly Mycin M, Colobreathe, Xylistin)",medication,binary,"Colistin (Colistimethate, Coly Mycin M, Colobreathe, Xylistin)",medi_antibioagent_otherl2,[medi_antibioagent]='88'
1958,"medi_antibioagent_otherl2___Daptomycin (Dapzura, Cubicin)",medication,binary,"Daptomycin (Dapzura, Cubicin)",medi_antibioagent_otherl2,[medi_antibioagent]='88'
1959,medi_antibioagent_otherl2___Dirithromycin (Dynabac),medication,binary,Dirithromycin (Dynabac),medi_antibioagent_otherl2,[medi_antibioagent]='88'
1960,medi_antibioagent_otherl2___Enoxacin,medication,binary,Enoxacin,medi_antibioagent_otherl2,[medi_antibioagent]='88'
1961,medi_antibioagent_otherl2___Ertapenem (Invanz),medication,binary,Ertapenem (Invanz),medi_antibioagent_otherl2,[medi_antibioagent]='88'
1962,"medi_antibioagent_otherl2___Flucloxacillin (Floxapen, Fluclox)",medication,binary,"Flucloxacillin (Floxapen, Fluclox)",medi_antibioagent_otherl2,[medi_antibioagent]='88'
1963,medi_antibioagent_otherl2___Fluconazole (Diflucan),medication,binary,Fluconazole (Diflucan),medi_antibioagent_otherl2,[medi_antibioagent]='88'
1964,medi_antibioagent_otherl2___Gatifloxacin (Tequin),medication,binary,Gatifloxacin (Tequin),medi_antibioagent_otherl2,[medi_antibioagent]='88'
1965,medi_antibioagent_otherl2___Gemifloxacin (Factive),medication,binary,Gemifloxacin (Factive),medi_antibioagent_otherl2,[medi_antibioagent]='88'
1966,medi_antibioagent_otherl2___Kanamycin (Kantrex),medication,binary,Kanamycin (Kantrex),medi_antibioagent_otherl2,[medi_antibioagent]='88'
1967,medi_antibioagent_otherl2___Linezolid (Zyvox),medication,binary,Linezolid (Zyvox),medi_antibioagent_otherl2,[medi_antibioagent]='88'
1968,medi_antibioagent_otherl2___Lomefloxacin,medication,binary,Lomefloxacin,medi_antibioagent_otherl2,[medi_antibioagent]='88'
1969,"medi_antibioagent_otherl2___Meropenem (Merrem, Meronem)",medication,binary,"Meropenem (Merrem, Meronem)",medi_antibioagent_otherl2,[medi_antibioagent]='88'
1970,"medi_antibioagent_otherl2___Methenamine hippurate (Hiprex, Urex)",medication,binary,"Methenamine hippurate (Hiprex, Urex)",medi_antibioagent_otherl2,[medi_antibioagent]='88'
1971,"medi_antibioagent_otherl2___Mezlocillin (Baypen, Melocin, Bezlin, Optocillin)",medication,binary,"Mezlocillin (Baypen, Melocin, Bezlin, Optocillin)",medi_antibioagent_otherl2,[medi_antibioagent]='88'
1972,"medi_antibioagent_otherl2___Minocycline (Minocin, Ximino)",medication,binary,"Minocycline (Minocin, Ximino)",medi_antibioagent_otherl2,[medi_antibioagent]='88'
1973,"medi_antibioagent_otherl2___Moxifloxacin (Avelox, Vigamox)",medication,binary,"Moxifloxacin (Avelox, Vigamox)",medi_antibioagent_otherl2,[medi_antibioagent]='88'
1974,medi_antibioagent_otherl2___Nafcillin,medication,binary,Nafcillin,medi_antibioagent_otherl2,[medi_antibioagent]='88'
1975,"medi_antibioagent_otherl2___Nalidixic Acid (NegGram, Wintomylon)",medication,binary,"Nalidixic Acid (NegGram, Wintomylon)",medi_antibioagent_otherl2,[medi_antibioagent]='88'
1976,medi_antibioagent_otherl2___Netilmicin (Netromycin),medication,binary,Netilmicin (Netromycin),medi_antibioagent_otherl2,[medi_antibioagent]='88'
1977,"medi_antibioagent_otherl2___Nitrofural (Aldomycin, Furacin, NFZ)",medication,binary,"Nitrofural (Aldomycin, Furacin, NFZ)",medi_antibioagent_otherl2,[medi_antibioagent]='88'
1978,"medi_antibioagent_otherl2___Nitrofurantoin (Macrobid, Macrodantin)",medication,binary,"Nitrofurantoin (Macrobid, Macrodantin)",medi_antibioagent_otherl2,[medi_antibioagent]='88'
1979,medi_antibioagent_otherl2___Novobiocin (Albadry),medication,binary,Novobiocin (Albadry),medi_antibioagent_otherl2,[medi_antibioagent]='88'
1980,"medi_antibioagent_otherl2___Ofloxacin (Floxin, Ocuflox)",medication,binary,"Ofloxacin (Floxin, Ocuflox)",medi_antibioagent_otherl2,[medi_antibioagent]='88'
1981,medi_antibioagent_otherl2___Oxacillin (Bactocill),medication,binary,Oxacillin (Bactocill),medi_antibioagent_otherl2,[medi_antibioagent]='88'
1982,medi_antibioagent_otherl2___Piperacillin,medication,binary,Piperacillin,medi_antibioagent_otherl2,[medi_antibioagent]='88'
1983,"medi_antibioagent_otherl2___Piperacillin/Beta-lactamase inhibitor (Piperacillin/Tazobactam, Pip-Taz, Tazocel, Tazocin, Zosyn,",medication,binary,"Piperacillin/Beta-lactamase inhibitor (Piperacillin/Tazobactam, Pip-Taz, Tazocel, Tazocin, Zosyn,",medi_antibioagent_otherl2,[medi_antibioagent]='88'
1984,medi_antibioagent_otherl2___Pivmecillinam (Selexid),medication,binary,Pivmecillinam (Selexid),medi_antibioagent_otherl2,[medi_antibioagent]='88'
1985,medi_antibioagent_otherl2___Plazomicin (Zemdri),medication,binary,Plazomicin (Zemdri),medi_antibioagent_otherl2,[medi_antibioagent]='88'
1986,"medi_antibioagent_otherl2___Polymyxin B (Poly-Rx, Polysporin)",medication,binary,"Polymyxin B (Poly-Rx, Polysporin)",medi_antibioagent_otherl2,[medi_antibioagent]='88'
1987,"medi_antibioagent_otherl2___Procaine benzylpenicillin (Penicillin G, Bactracillin G, Norocillin)",medication,binary,"Procaine benzylpenicillin (Penicillin G, Bactracillin G, Norocillin)",medi_antibioagent_otherl2,[medi_antibioagent]='88'
1988,medi_antibioagent_otherl2___Quinupristin/Dalfopristin (Synercid),medication,binary,Quinupristin/Dalfopristin (Synercid),medi_antibioagent_otherl2,[medi_antibioagent]='88'
1989,medi_antibioagent_otherl2___Retapamulin (Altabax),medication,binary,Retapamulin (Altabax),medi_antibioagent_otherl2,[medi_antibioagent]='88'
1990,"medi_antibioagent_otherl2___Rifampicin (Rifadin, Rimactane)",medication,binary,"Rifampicin (Rifadin, Rimactane)",medi_antibioagent_otherl2,[medi_antibioagent]='88'
1991,"medi_antibioagent_otherl2___Roxithromycin (Biaxsig, Rulide)",medication,binary,"Roxithromycin (Biaxsig, Rulide)",medi_antibioagent_otherl2,[medi_antibioagent]='88'
1992,medi_antibioagent_otherl2___Sparfloxacin (Spacin),medication,binary,Sparfloxacin (Spacin),medi_antibioagent_otherl2,[medi_antibioagent]='88'
1993,medi_antibioagent_otherl2___Sulfadiazine,medication,binary,Sulfadiazine,medi_antibioagent_otherl2,[medi_antibioagent]='88'
1994,medi_antibioagent_otherl2___Sulfamethoxazole (Gantanol),medication,binary,Sulfamethoxazole (Gantanol),medi_antibioagent_otherl2,[medi_antibioagent]='88'
1995,medi_antibioagent_otherl2___Telithromycin (Levviax),medication,binary,Telithromycin (Levviax),medi_antibioagent_otherl2,[medi_antibioagent]='88'
1996,"medi_antibioagent_otherl2___Tetracycline (Viabecline, Vitastem)",medication,binary,"Tetracycline (Viabecline, Vitastem)",medi_antibioagent_otherl2,[medi_antibioagent]='88'
